Mark Kozelek,Nights Lp,https://www.youtube.com/playlist?list=OLAK5uy_kQVbw1DA73vohytwQPRT6NnoHraTQgImU
Mark Kozelek,Mark Kozelek,https://www.youtube.com/playlist?list=OLAK5uy_k8XnmXHNnyOK57k_XMbnu977reKwHKy3M
Mark Kozelek,Perils from the Sea,https://www.youtube.com/playlist?list=OLAK5uy_m1-tJmgRuxwx40UPqcFHoQiKnKKJQGbak
Mark Kozelek,Mark Kozelek & Desertshore,https://www.youtube.com/playlist?list=OLAK5uy_nrK41bm3Vr7YBQPRZOVHTdwTJZpSeS1uE
Sun Kil Moon,Ghosts of the GReat Highway,https://www.youtube.com/playlist?list=OLAK5uy_lB0Lgr4jmkgzYXJuXIHcre3gI_FJffWXE
Sun Kil Moon,Universal Themes,https://www.youtube.com/playlist?list=OLAK5uy_nuHEV0aDK90IaLXdmTleIVcxbepDIaSGs
Sun Kil Moon,Tiny Cities,https://www.youtube.com/playlist?list=OLAK5uy_mcqIGTzmS8xaQs6S_Uuk5wGy-k53t1e4Q
Sun Kil Moon,April,https://www.youtube.com/playlist?list=OLAK5uy_kN-1woxSMaiz9f4ULJptHf5cE_Jz8KO3w
Sun Kil Moon,Admiral Fell Promises,https://www.youtube.com/playlist?list=OLAK5uy_lQfp6LwLkvFawStdnizcKiTMo4J__PY7A
Clams Casino,Instrumentals Mixtape,https://www.youtube.com/playlist?list=PLOJWuc3CN301nA345m-lSUDm-n50cafIc
Clams Casino,Instrumentals Mixtape 2,https://www.youtube.com/playlist?list=PLRExyTbVqZjNJhzhegVftBjvt2NmKQb_w
Clams Casino,Instrumentals Mixtape 4,https://www.youtube.com/playlist?list=PLPRWtKgY2MOvTnEiDYegzGghzSvvmmdrJ
Clams Casino,Instrumentals Mixtape 1,https://www.youtube.com/playlist?list=PLmGuMvhZ3-aPXL9VHAwDiriLWzeZMuBEJ
Clams Casino,Instrumentals Mixtape 3,https://www.youtube.com/playlist?list=PLffVIGs0u57lew_EduNEPV_S1eeVazN8d
Earthrise,Eras Lost,https://www.youtube.com/playlist?list=PL0DC0B7E369340E1C
Blut Aus Nord,Lovecraftian Echoes,https://www.youtube.com/playlist?list=PLAMm8OCulo3Dc-hK4bzGtGfmRjjirMks8
--help,,
Agalloch,Ashes Against The Grain,https://www.youtube.com/playlist?list=PLlIpxI0LQuiBkyZvs7a7l3QjOQ8pyzFry
Agalloch,Marrow of the Spirit,https://www.youtube.com/playlist?list=OLAK5uy_nNyvA98A52uquU_Q7WUsdEzjrbXZjVDZI
Agalloch,The Mantle,https://www.youtube.com/playlist?list=OLAK5uy_naomtXg2NFV8tdxVir0MxKy5Kijf88CYo
Agalloch,Pale Folklore,https://www.youtube.com/playlist?list=OLAK5uy_lB7I9kERuvb4GUA8Z3tJkWhjXC2e0Ykn4
Agalloch,"Of Stone, Wind, & Pillor",https://www.youtube.com/playlist?list=OLAK5uy_nmczk21FL5JknGi-737zliVxYWsPHom0s
Agalloch,The Serpent & The Sphere,https://www.youtube.com/playlist?list=OLAK5uy_nmBlsdo02aOpFwC6PlEzzLc9_yPfyPeSw
Erik Satie,Gymnopedies,https://www.youtube.com/watch?v=wnacdOIoTBQ
Erik Satie,The Essential Collection,https://www.youtube.com/playlist?list=PLlcE_5wllnMYNlu6CidOtB3CGNzACKHB4
Yann Tiersen,Amelie Soundtrack,https://www.youtube.com/playlist?list=PLPIXQb1Vqj6SWxY8DMcNodBxCAn8p9vEy
The Templars,Dues Vult,https://www.youtube.com/playlist?list=OLAK5uy_kTsd_cMKT0pMCZSC66tayCB3_sGQvBXBg
